room_id,data,inicio,fim,duracao_h,apresentadora,origem,titulo
7669062779953482516,2026-08-01,11:00,13:23,2.38,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",MÊS NOVO CALÇA NOVA 🔴👀
7669100922133285652,2026-08-01,13:28,14:00,0.53,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",
7669810310937611029,2026-08-03,11:21,14:12,2.86,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",Segundouu Bora lá 🔴🚨
7669951834509413141,2026-08-03,20:30,22:21,1.84,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",Garanta O Seu Jeans Aqui AGORA🔴
7669982961385556757,2026-08-03,22:31,23:30,0.98,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",Garanta O Seu Jeans Aqui AGORA🔴
7670175999950392085,2026-08-04,11:00,14:00,3.0,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",Ofertas Especiais Para Elas 🔴👀
7670254579333843733,2026-08-04,16:05,18:00,1.91,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",Terça de Promoções 🚨🔥
7670547026186128148,2026-08-05,11:00,12:37,1.63,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",Quartou Com A Rhode Jeans
7670574600383761173,2026-08-05,12:47,14:00,1.22,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",Quartou Com A Rhode Jeans
7670694093627198228,2026-08-05,20:31,23:36,3.09,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",Venha Garantir a Sua Calça Jeans
7671289238625504021,2026-08-07,11:00,13:16,2.28,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",SEXTOUUU🚨🔴
7671327676755921684,2026-08-07,13:29,15:04,1.58,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",SEXTOUUU🚨🔴
7671660326505794324,2026-08-08,11:00,13:07,2.12,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",ÚLTIMA CHANCE!!!
7671693398436350741,2026-08-08,13:08,13:35,0.45,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",
7671700562141416213,2026-08-08,13:36,14:00,0.39,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",
7672793256732330772,2026-08-11,12:16,14:00,1.73,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",ÚLTIMA CHANCE!!! 👀🚨
7672835643102710549,2026-08-11,15:01,16:19,1.31,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",CONFIRA JAAA
7672859207151946516,2026-08-11,16:32,18:00,1.46,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",CONFIRA JAAA
7673144670953278229,2026-08-12,11:00,14:00,3.0,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",QUARTOUU NA RHODEJEANS
7673291426341473045,2026-08-12,20:30,22:03,1.56,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",CHEGA MAIS MENINASS 👀🚨
7673317657553111828,2026-08-12,22:11,23:30,1.31,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",CHEGA MAIS MENINASS 👀🚨
7673515829975157524,2026-08-13,11:00,11:57,0.95,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",GARANTA AGORA A SUA CALÇA JEANS
7673532945679092500,2026-08-13,12:07,14:00,1.89,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",GARANTA AGORA A SUA CALÇA JEANS
7673577638124882708,2026-08-13,15:00,16:47,1.77,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",CHEGA MAISSS 🚨👀
7673607250401446676,2026-08-13,16:55,18:00,1.08,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",CHEGA MAISSS 🚨👀
7673886866198383380,2026-08-14,11:00,14:38,3.63,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",MEGA SALDÃO RHODE 🚨
7673944294761089812,2026-08-14,14:43,15:11,0.46,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",
