id,creator,data,content_type,gmv,comissao,pedidos,itens
thainabeautyoficial|2026-03-05|VIDEO,thainabeautyoficial,2026-03-05,VIDEO,1539.89,65.8,19,19
leticiatsec|2026-03-05|VIDEO,leticiatsec,2026-03-05,VIDEO,1352.83,62.11,16,16
alinecavanellas|2026-03-05|VIDEO,alinecavanellas,2026-03-05,VIDEO,1014.88,33.47,12,12
adv.dayane|2026-03-05|LIVE,adv.dayane,2026-03-05,LIVE,962.86,99.51,12,12
tacianecreator|2026-03-05|VIDEO,tacianecreator,2026-03-05,VIDEO,923.48,15.21,11,11
ericamcabeluda|2026-03-05|VIDEO,ericamcabeluda,2026-03-05,VIDEO,799.0,47.94,10,10
pattylazzarotto|2026-03-05|VIDEO,pattylazzarotto,2026-03-05,VIDEO,732.1,24.71,9,9
numarchi|2026-03-05|VIDEO,numarchi,2026-03-05,VIDEO,479.4,23.97,6,6
jessicamesant|2026-03-05|VIDEO,jessicamesant,2026-03-05,VIDEO,343.03,25.72,4,4
thami.brambilla|2026-03-05|VIDEO,thami.brambilla,2026-03-05,VIDEO,337.89,16.91,4,4
natmarquesvi|2026-03-05|LIVE,natmarquesvi,2026-03-05,LIVE,254.79,27.95,3,3
.familiapimentel|2026-03-05|VIDEO,.familiapimentel,2026-03-05,VIDEO,164.92,8.93,2,2
laianenovaisss|2026-03-05|VIDEO,laianenovaisss,2026-03-05,VIDEO,164.92,8.93,2,2
ee2ut0l0r4|2026-03-05|VIDEO,ee2ut0l0r4,2026-03-05,VIDEO,159.8,7.99,2,2
gabbizie|2026-03-05|VIDEO,gabbizie,2026-03-05,VIDEO,159.8,15.98,2,2
valindicaachadinhos|2026-03-05|VIDEO,valindicaachadinhos,2026-03-05,VIDEO,159.8,15.98,2,2
gomeseliane13|2026-03-05|VIDEO,gomeseliane13,2026-03-05,VIDEO,85.02,8.93,1,1
miiiihpires|2026-03-05|SHOP,miiiihpires,2026-03-05,SHOP,85.02,8.5,1,1
lu_dias10|2026-03-05|LIVE,lu_dias10,2026-03-05,LIVE,85.02,8.93,1,1
nati_sus|2026-03-05|VIDEO,nati_sus,2026-03-05,VIDEO,85.02,8.5,1,1
monique.rosilva|2026-03-05|SHOP,monique.rosilva,2026-03-05,SHOP,83.15,8.32,1,1
cliciamerces25|2026-03-05|LIVE,cliciamerces25,2026-03-05,LIVE,79.99,8.0,1,1
essenciadani|2026-03-05|VIDEO,essenciadani,2026-03-05,VIDEO,79.99,8.0,1,1
thalyytaguedes|2026-03-05|VIDEO,thalyytaguedes,2026-03-05,VIDEO,79.9,7.99,1,1
maritips_|2026-03-05|VIDEO,maritips_,2026-03-05,VIDEO,79.9,0.0,1,1
hitalasantiago|2026-03-05|VIDEO,hitalasantiago,2026-03-05,VIDEO,79.9,0.0,1,1
dicasdathayoficial|2026-03-05|VIDEO,dicasdathayoficial,2026-03-05,VIDEO,79.9,0.0,1,1
gleysaaguiar|2026-03-05|VIDEO,gleysaaguiar,2026-03-05,VIDEO,79.9,0.0,1,1
mo.joanaa|2026-03-05|VIDEO,mo.joanaa,2026-03-05,VIDEO,79.9,7.99,1,1
valenhoffmaann|2026-03-05|VIDEO,valenhoffmaann,2026-03-05,VIDEO,79.9,7.99,1,1
jessicap.braz|2026-03-05|VIDEO,jessicap.braz,2026-03-05,VIDEO,79.9,7.99,1,1
arenatajardim|2026-03-05|VIDEO,arenatajardim,2026-03-05,VIDEO,79.9,7.99,1,1
_mareiis|2026-03-05|LIVE,_mareiis,2026-03-05,LIVE,69.9,6.99,1,1
leticiatsec|2026-03-06|VIDEO,leticiatsec,2026-03-06,VIDEO,2028.46,123.55,24,24
adv.dayane|2026-03-06|LIVE,adv.dayane,2026-03-06,LIVE,1752.47,175.25,22,22
ericamcabeluda|2026-03-06|VIDEO,ericamcabeluda,2026-03-06,VIDEO,1590.29,135.06,19,20
alinecavanellas|2026-03-06|VIDEO,alinecavanellas,2026-03-06,VIDEO,1575.58,81.91,19,19
tacianecreator|2026-03-06|VIDEO,tacianecreator,2026-03-06,VIDEO,1555.39,65.89,19,19
thainabeautyoficial|2026-03-06|VIDEO,thainabeautyoficial,2026-03-06,VIDEO,1356.37,104.21,16,17
ee2ut0l0r4|2026-03-06|VIDEO,ee2ut0l0r4,2026-03-06,VIDEO,1103.18,23.97,12,14
thami.brambilla|2026-03-06|VIDEO,thami.brambilla,2026-03-06,VIDEO,988.71,76.18,10,12
kcomkarina|2026-03-06|LIVE,kcomkarina,2026-03-06,LIVE,629.91,63.0,9,9
nati_sus|2026-03-06|VIDEO,nati_sus,2026-03-06,VIDEO,510.12,51.0,6,6
numarchi|2026-03-06|VIDEO,numarchi,2026-03-06,VIDEO,461.78,31.19,5,6
elacatarina|2026-03-06|VIDEO,elacatarina,2026-03-06,VIDEO,391.79,39.18,5,5
