id,creator,product_id,data,produto,seller_sku,gmv,comissao,pedidos
thainabeautyoficial|1731763836201109087|2026-03-05,thainabeautyoficial,1731763836201109087,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF51636,1038.7,39.95,13
leticiatsec|1733537963414488671|2026-03-05,leticiatsec,1733537963414488671,2026-03-05,Calça Jeans Feminina Wide Leg Cintura Alta- Candy Colors,REF54936,1020.24,44.65,12
ericamcabeluda|1731763836201109087|2026-03-05,ericamcabeluda,1731763836201109087,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF51636,799.0,47.94,10
alinecavanellas|1733537963414488671|2026-03-05,alinecavanellas,1733537963414488671,2026-03-05,Calça Jeans Feminina Wide Leg Cintura Alta- Candy Colors,REF54936,680.16,8.5,8
adv.dayane|1733690547643385439|2026-03-05,adv.dayane,1733690547643385439,2026-03-05,Calça Feminina Jeans Wide Leg Cintura Alta Azul Médio Marmorizado,REF55136,563.09,59.13,7
tacianecreator|1731763836201109087|2026-03-05,tacianecreator,1731763836201109087,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF51636,543.88,15.21,7
numarchi|1731763836201109087|2026-03-05,numarchi,1731763836201109087,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF51636,479.4,23.97,6
pattylazzarotto|1731763836201109087|2026-03-05,pattylazzarotto,1731763836201109087,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF51636,399.5,15.98,5
tacianecreator|1734314781918922335|2026-03-05,tacianecreator,1734314781918922335,2026-03-05,Calça Jeans Feminina Wide Leg Cintura Alta Chocolate,REF56236,379.6,0.0,4
alinecavanellas|1733538126820050527|2026-03-05,alinecavanellas,1733538126820050527,2026-03-05,Calça Jeans Feminina Wide Leg Cintura Alta Amarelo Manteiga,REF55036,254.82,16.98,3
pattylazzarotto|1733690547643385439|2026-03-05,pattylazzarotto,1733690547643385439,2026-03-05,Calça Feminina Jeans Wide Leg Cintura Alta Azul Médio Marmorizado,REF55136,249.45,8.73,3
leticiatsec|1733490894440269407|2026-03-05,leticiatsec,1733490894440269407,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Cintura alta,REF54736,249.44,8.73,3
adv.dayane|1731763836201109087|2026-03-05,adv.dayane,1731763836201109087,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF51636,229.79,22.98,3
jessicamesant|1732670078583801439|2026-03-05,jessicamesant,1732670078583801439,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Cintura Alta Preta Marmorizada,REF52836,179.98,9.0,2
natmarquesvi|1734314781918922335|2026-03-05,natmarquesvi,1734314781918922335,2026-03-05,Calça Jeans Feminina Wide Leg Cintura Alta Chocolate,REF56236,174.8,18.35,2
thainabeautyoficial|1733538126820050527|2026-03-05,thainabeautyoficial,1733538126820050527,2026-03-05,Calça Jeans Feminina Wide Leg Cintura Alta Amarelo Manteiga,REF55036,169.88,8.92,2
thainabeautyoficial|1733490894440269407|2026-03-05,thainabeautyoficial,1733490894440269407,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Cintura alta,REF54736,166.3,0.0,2
gabbizie|1731763836201109087|2026-03-05,gabbizie,1731763836201109087,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF51636,159.8,15.98,2
valindicaachadinhos|1731763836201109087|2026-03-05,valindicaachadinhos,1731763836201109087,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF51636,159.8,15.98,2
ee2ut0l0r4|1731763836201109087|2026-03-05,ee2ut0l0r4,1731763836201109087,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF51636,159.8,7.99,2
adv.dayane|1732670078583801439|2026-03-05,adv.dayane,1732670078583801439,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Cintura Alta Preta Marmorizada,REF52836,89.99,9.0,1
thami.brambilla|1734202787355592287|2026-03-05,thami.brambilla,1734202787355592287,2026-03-05,Shorts Mom/Social Feminino Jeans Cintura Alta Barra Dobrada Candy Colors,REF55936,89.9,0.0,1
nati_sus|1733537963414488671|2026-03-05,nati_sus,1733537963414488671,2026-03-05,Calça Jeans Feminina Wide Leg Cintura Alta- Candy Colors,REF54936,85.02,8.5,1
thainabeautyoficial|1733537963414488671|2026-03-05,thainabeautyoficial,1733537963414488671,2026-03-05,Calça Jeans Feminina Wide Leg Cintura Alta- Candy Colors,REF54936,85.02,8.93,1
miiiihpires|1733537963414488671|2026-03-05,miiiihpires,1733537963414488671,2026-03-05,Calça Jeans Feminina Wide Leg Cintura Alta- Candy Colors,REF54936,85.02,8.5,1
laianenovaisss|1733537963414488671|2026-03-05,laianenovaisss,1733537963414488671,2026-03-05,Calça Jeans Feminina Wide Leg Cintura Alta- Candy Colors,REF54936,85.02,8.93,1
gomeseliane13|1733537963414488671|2026-03-05,gomeseliane13,1733537963414488671,2026-03-05,Calça Jeans Feminina Wide Leg Cintura Alta- Candy Colors,REF54936,85.02,8.93,1
.familiapimentel|1733537963414488671|2026-03-05,.familiapimentel,1733537963414488671,2026-03-05,Calça Jeans Feminina Wide Leg Cintura Alta- Candy Colors,REF54936,85.02,8.93,1
lu_dias10|1733537963414488671|2026-03-05,lu_dias10,1733537963414488671,2026-03-05,Calça Jeans Feminina Wide Leg Cintura Alta- Candy Colors,REF54936,85.02,8.93,1
thami.brambilla|1733538126820050527|2026-03-05,thami.brambilla,1733538126820050527,2026-03-05,Calça Jeans Feminina Wide Leg Cintura Alta Amarelo Manteiga,REF55036,84.94,8.92,1
jessicamesant|1733491008023201375|2026-03-05,jessicamesant,1733491008023201375,2026-03-05,Calça Jeans Feminina Wide Leg Cintura Alta Branca,REF54636,83.15,8.73,1
pattylazzarotto|1733491089938155103|2026-03-05,pattylazzarotto,1733491089938155103,2026-03-05,Calça Jeans Feminina Wide Leg Cintura Alta Terracota,REF54836,83.15,0.0,1
thami.brambilla|1733491089938155103|2026-03-05,thami.brambilla,1733491089938155103,2026-03-05,Calça Jeans Feminina Wide Leg Cintura Alta Terracota,REF54836,83.15,0.0,1
monique.rosilva|1733690547643385439|2026-03-05,monique.rosilva,1733690547643385439,2026-03-05,Calça Feminina Jeans Wide Leg Cintura Alta Azul Médio Marmorizado,REF55136,83.15,8.32,1
leticiatsec|1733491089938155103|2026-03-05,leticiatsec,1733491089938155103,2026-03-05,Calça Jeans Feminina Wide Leg Cintura Alta Terracota,REF54836,83.15,8.73,1
adv.dayane|1733538126820050527|2026-03-05,adv.dayane,1733538126820050527,2026-03-05,Calça Jeans Feminina Wide Leg Cintura Alta Amarelo Manteiga,REF55036,79.99,8.4,1
cliciamerces25|1732620602328647263|2026-03-05,cliciamerces25,1732620602328647263,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta Stone Used,REF52536,79.99,8.0,1
natmarquesvi|1733537963414488671|2026-03-05,natmarquesvi,1733537963414488671,2026-03-05,Calça Jeans Feminina Wide Leg Cintura Alta- Candy Colors,REF54936,79.99,9.6,1
essenciadani|1732620602328647263|2026-03-05,essenciadani,1732620602328647263,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta Stone Used,REF52536,79.99,8.0,1
thainabeautyoficial|1732620602328647263|2026-03-05,thainabeautyoficial,1732620602328647263,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta Stone Used,REF52536,79.99,8.0,1
thami.brambilla|1731763836201109087|2026-03-05,thami.brambilla,1731763836201109087,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF51636,79.9,7.99,1
maritips_|1731763836201109087|2026-03-05,maritips_,1731763836201109087,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF51636,79.9,0.0,1
gleysaaguiar|1731763836201109087|2026-03-05,gleysaaguiar,1731763836201109087,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF51636,79.9,0.0,1
mo.joanaa|1731763836201109087|2026-03-05,mo.joanaa,1731763836201109087,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF51636,79.9,7.99,1
.familiapimentel|1731763836201109087|2026-03-05,.familiapimentel,1731763836201109087,2026-03-05,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF51636,79.9,0.0,1
