id,return_id,order_id,data,product_name,seller_sku,sku_name,refund_item,refund_return,return_reason,return_status,return_type
4039012888608474793,4039012888608409257,582820242278811305,2026-03-04,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF52742,"Sky Used, 42",62.99,62.99,Item doesn't fit,RETURN_OR_REFUND_REQUEST_COMPLETE,RETURN_AND_REFUND
4039025588743734698,4039025588743669162,582820983689282986,2026-03-04,Calça Jeans Feminina Wide Leg Cintura Alta Azul Médio Marmorizado,REF55144,"Azul Médio Marmorizado , 44",81.83,81.83,Item doesn't fit,RETURN_OR_REFUND_REQUEST_COMPLETE,RETURN_AND_REFUND
4039025587437799295,4039025587437733759,582702095946385279,2026-03-04,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF51644,"Marmorizada, 44",103.8,103.8,Item doesn't fit,RETURN_OR_REFUND_REQUEST_COMPLETE,RETURN_AND_REFUND
4039025728506529461,4039025728506463925,582699925014021813,2026-03-04,Calça Jeans Feminina Wide Leg Cintura Alta- Candy Colors,REF54936,"ROSA BEBÊ, 36",90.79,90.79,Color or pattern not as expected,RETURN_OR_REFUND_REQUEST_CANCEL,RETURN_AND_REFUND
4039025754200180099,4039025754200114563,582764652313544067,2026-03-04,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF51636,"Marmorizada, 36",69.99,69.99,Product wouldn't arrive on time,RETURN_OR_REFUND_REQUEST_CANCEL,REFUND
4039025764967548597,4039025764967483061,582699835435746997,2026-03-04,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF51636,"Marmorizada, 36",80.74,80.74,Item doesn't match description,RETURN_OR_REFUND_REQUEST_CANCEL,RETURN_AND_REFUND
4039025810597840582,4039025810597775046,582765267068683974,2026-03-04,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF51644,"Marmorizada, 44",71.45,71.45,Color or pattern not as expected,RETURN_OR_REFUND_REQUEST_COMPLETE,RETURN_AND_REFUND
4039025822893180405,4039025822893114869,582812596730758645,2026-03-04,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF51644,"Marmorizada, 44",80.7,80.7,Color or pattern not as expected,RETURN_OR_REFUND_REQUEST_COMPLETE,RETURN_AND_REFUND
4039026070568732485,4039026070568666949,582617462760179525,2026-03-04,Calça Jeans Feminina Wide Leg Jeans Feminina Cintura Alta,REF52540,"Stone Used, 40",70.79,70.79,Item doesn't fit,RETURN_OR_REFUND_REQUEST_COMPLETE,RETURN_AND_REFUND
4039026113734936404,4039026113734870868,582785983419090772,2026-03-04,Calça Jeans Feminina Wide Leg Jeans Cintura Alta Preta Marmorizada,REF52836,36,89.99,89.99,Item doesn't fit,RETURN_OR_REFUND_REQUEST_COMPLETE,RETURN_AND_REFUND
