data,gmv_bruto,gmv_liquido,pedidos,cancelados,itens,clientes,ticket,taxa_cancel_pct
2026-03-04,18276.63,14315.44,208,53,225,206,87.87,25.48
2026-03-05,17440.68,9840.99,201,101,220,199,86.77,50.25
2026-03-06,21385.11,15113.6,245,83,269,243,87.29,33.88
2026-03-07,43279.55,38074.71,508,69,539,500,85.2,13.58
2026-03-08,31394.17,31394.17,374,0,402,371,83.94,0.0
2026-03-09,47748.08,43861.24,565,51,624,556,84.51,9.03
2026-03-10,45718.7,41964.67,544,49,597,537,84.04,9.01
2026-03-11,45080.34,34931.92,546,134,589,535,82.56,24.54
2026-03-12,25966.03,22905.67,318,40,339,313,81.65,12.58
2026-03-13,18332.9,4556.93,206,184,231,206,88.99,89.32
2026-03-14,15184.69,9884.78,175,70,187,170,86.77,40.0
2026-03-15,14554.49,13737.79,168,10,179,164,86.63,5.95
2026-03-16,11874.1,8559.74,137,44,153,135,86.67,32.12
2026-03-17,19154.05,15041.74,214,56,256,209,89.5,26.17
2026-03-18,13477.58,-4362.69,151,228,175,145,89.26,150.99
2026-03-19,23809.13,17607.46,289,82,304,282,82.38,28.37
2026-03-20,31901.23,29726.49,365,27,410,355,87.4,7.4
2026-03-21,22965.94,21334.81,270,21,281,265,85.06,7.78
2026-03-22,32709.95,31093.61,407,21,435,399,80.37,5.16
2026-03-23,30036.72,20089.24,369,132,384,361,81.4,35.77
2026-03-24,28239.59,20475.63,348,101,379,334,81.15,29.02
2026-03-25,35859.69,29009.34,443,89,479,429,80.95,20.09
2026-03-26,24172.02,19174.46,287,67,312,278,84.22,23.34
2026-03-27,35680.62,29376.05,430,83,477,416,82.98,19.3
2026-03-28,27953.55,22606.36,339,66,357,328,82.46,19.47
2026-03-29,53754.0,50823.94,645,39,708,622,83.34,6.05
2026-03-30,58999.15,54640.49,738,57,806,722,79.94,7.72
2026-03-31,42979.59,35601.01,550,97,587,528,78.14,17.64
2026-04-01,32100.22,29748.37,373,31,415,363,86.06,8.31
2026-04-02,36280.99,28716.52,433,98,473,424,83.79,22.63
2026-04-03,35261.38,33330.98,421,26,455,408,83.76,6.18
2026-04-04,26883.36,25475.98,312,18,348,305,86.16,5.77
2026-04-05,30072.38,28843.4,351,15,373,342,85.68,4.27
2026-04-06,35388.62,28487.93,403,91,458,392,87.81,22.58
2026-04-07,19337.5,14257.63,222,67,243,219,87.11,30.18
2026-04-08,32876.74,28621.84,402,57,425,389,81.78,14.18
2026-04-09,25930.67,21044.72,301,64,315,296,86.15,21.26
2026-04-10,26071.28,20647.23,320,73,337,315,81.47,22.81
2026-04-11,16926.3,16314.03,201,8,213,196,84.21,3.98
2026-04-12,16129.62,15148.81,189,12,202,185,85.34,6.35
2026-04-13,14896.96,8343.7,174,89,197,166,85.61,51.15
2026-04-14,35006.98,25622.8,420,121,449,410,83.35,28.81
2026-04-15,59324.47,53562.63,745,77,804,726,79.63,10.34
2026-04-16,49175.46,40883.29,622,110,662,608,79.06,17.68
2026-04-17,36922.7,32119.98,459,64,483,447,80.44,13.94
2026-04-18,33215.93,28777.13,411,57,433,408,80.82,13.87
2026-04-19,19378.16,17713.76,241,21,254,239,80.41,8.71
2026-04-20,40588.64,37210.11,513,45,549,501,79.12,8.77
2026-04-21,50813.43,48852.71,628,27,678,625,80.91,4.3
2026-04-22,26572.83,23086.25,317,45,362,310,83.83,14.2
2026-04-23,12481.81,3872.15,141,111,150,137,88.52,78.72
2026-04-24,24631.83,15269.46,294,124,331,284,83.78,42.18
2026-04-25,63639.42,57418.39,745,88,880,714,85.42,11.81
2026-04-26,32943.49,30901.72,379,28,430,371,86.92,7.39
2026-04-27,10612.98,7977.72,134,37,143,131,79.2,27.61
2026-04-28,9520.58,8317.84,104,16,117,101,91.54,15.38
2026-04-29,34454.61,23962.37,418,140,488,406,82.43,33.49
2026-04-30,20665.19,13528.75,249,96,270,244,82.99,38.55
2026-05-01,21291.6,20168.26,258,13,272,255,82.53,5.04
2026-05-02,15054.23,14297.67,181,11,190,179,83.17,6.08
2026-05-03,11563.37,10968.43,127,8,138,125,91.05,6.3
2026-05-04,8982.02,159.52,92,119,102,91,97.63,129.35
2026-05-05,6775.26,301.19,69,86,73,68,98.19,124.64
2026-05-06,9842.46,3892.91,100,76,106,93,98.42,76.0
2026-05-07,6077.86,3586.12,60,30,64,60,101.3,50.0
2026-05-08,14396.65,9831.78,175,60,185,171,82.27,34.29
2026-05-09,6392.21,2039.82,67,55,71,66,95.41,82.09
2026-05-10,7834.86,7481.41,80,4,83,80,97.94,5.0
2026-05-11,11130.4,6896.46,114,58,129,109,97.64,50.88
2026-05-12,5810.49,5530.65,59,3,63,58,98.48,5.08
2026-05-13,13425.98,7091.12,150,84,158,147,89.51,56.0
2026-05-14,23260.65,18295.93,252,66,302,248,92.3,26.19
2026-05-15,11138.13,5562.07,116,72,129,113,96.02,62.07
2026-05-16,18496.4,15917.97,189,31,213,178,97.86,16.4
2026-05-17,19811.66,18747.82,201,13,216,198,98.57,6.47
2026-05-18,18515.69,16036.5,195,34,214,188,94.95,17.44
2026-05-19,13497.01,11371.34,133,28,147,130,101.48,21.05
2026-05-20,24503.28,19245.68,255,67,286,244,96.09,26.27
2026-05-21,17213.51,15368.4,165,20,188,157,104.32,12.12
2026-05-22,56365.18,50448.18,567,81,831,529,99.41,14.29
2026-05-23,12315.78,11421.47,113,11,137,110,108.99,9.73
2026-05-24,11661.26,11477.22,108,2,120,108,107.97,1.85
2026-05-25,23137.29,18277.99,255,59,280,243,90.73,23.14
2026-05-26,24297.65,20969.59,259,38,284,250,93.81,14.67
2026-05-27,22842.13,19320.13,236,41,265,222,96.79,17.37
2026-05-28,22512.25,18531.23,243,51,271,237,92.64,20.99
2026-05-29,17622.75,14170.39,188,41,214,178,93.74,21.81
2026-05-30,27874.15,26282.62,313,20,344,305,89.05,6.39
2026-05-31,18416.99,17367.96,195,14,218,189,94.45,7.18
