creator,product_id,data,gmv,comissao,unidades,pedidos,unid_devolvidas
.familiapimentel,1731763836201109087,2026-06-03,89.9,7.19,1,1,0
.familiapimentel,1731763836201109087,2026-06-07,449.5,0.0,5,4,0
.familiapimentel,1731763836201109087,2026-06-08,269.7,14.38,3,3,0
.familiapimentel,1731763836201109087,2026-06-09,179.8,0.0,2,2,0
.familiapimentel,1731763836201109087,2026-06-10,449.5,7.19,5,5,0
.familiapimentel,1731763836201109087,2026-06-11,539.4,7.19,6,6,2
.familiapimentel,1731763836201109087,2026-06-12,719.2,14.38,8,8,0
.familiapimentel,1731763836201109087,2026-06-13,429.69,0.0,4,3,0
.familiapimentel,1731763836201109087,2026-06-15,289.7,15.98,3,3,0
.familiapimentel,1731763836201109087,2026-06-16,359.79,0.0,3,3,0
.familiapimentel,1731763836201109087,2026-06-17,99.9,0.0,1,1,0
.familiapimentel,1731763836201109087,2026-06-18,99.9,0.0,1,1,0
.familiapimentel,1731763836201109087,2026-06-19,99.9,0.0,1,1,0
.familiapimentel,1731763836201109087,2026-06-22,189.8,0.0,2,2,0
.familiapimentel,1731763836201109087,2026-06-23,299.7,7.99,3,3,0
.familiapimentel,1731763836201109087,2026-06-27,189.8,0.0,2,2,0
.familiapimentel,1731763836201109087,2026-06-28,259.89,20.79,2,2,0
.familiapimentel,1732620602328647263,2026-06-28,99.9,7.99,1,1,0
.familiapimentel,1731763836201109087,2026-06-30,99.9,7.99,1,1,0
.familiapimentel,1731763836201109087,2026-07-02,198.8,0.0,2,2,0
.familiapimentel,1731763836201109087,2026-07-03,198.8,0.0,2,2,0
.familiapimentel,1731763836201109087,2026-07-04,397.6,15.9,4,4,0
.familiapimentel,1731763836201109087,2026-07-05,198.8,0.0,2,2,0
_milenecarvalho,1732956787016435295,2026-06-29,139.9,11.19,1,1,0
_veridiana.ferreira,1732620602328647263,2026-06-18,199.8,15.98,2,1,0
a.fla.loira,1731763836201109087,2026-06-29,79.9,6.39,1,1,0
abenoada.tiktok.s,1731763836201109087,2026-06-13,79.9,6.39,1,1,0
achadinhos.danahh1,1731763836201109087,2026-06-30,99.9,7.99,1,1,0
achadinhos.lau1,1731763836201109087,2026-06-21,99.9,7.99,1,1,0
achadinhosdathati,1731763836201109087,2026-06-15,99.9,7.99,1,1,0
achadinhostts1,1733491089938155103,2026-06-27,109.9,8.79,1,1,0
